German,Uzbek
Teil,Qism
Geschichte,Hikoya
suchen,izlash
nur,faqat
Polizei,politsiya
Gedanke,fikr
helfen,yordam
Anfrage,So'rov
Geschlecht,Jins
Monat,Oy
Bruder,Birodar
gehen,ket
Weil,Chunki
setzen,o'rnatish
keiner,yo'q
in Ruhe lassen,jimgina qoldiring
ihnen,ular
Stadt,Shahar
jede,har
sprechen,gapirish
angekommen,yetib keldi
sollen,kerak
Baby,chaqaloq
lange,uzoq
Std.,soat
gehen,ket
während,esa
Verabschiedung,asrab olish
keiner,yo'q
Ort,Joylashuv
sprechen,gapirish
Verstanden,Tushundim
wusste,bilar edi
war,edi
Aufmerksamkeit,Diqqat
hier ist,mana
könnte,mumkin
Affäre,ish
geben,berish
Art,Art
ihre,uni
gegeben,berilgan
Zug,Poyezd
Körper,Tana
Ort,Joylashuv
Augen,Ko'zlar
Weg,Uzoqda
Hören,Eshiting
davon,shundan
finden,toping
Erste,Birinchidan
verloren,yo'qolgan
Hand,qo'l
Erste,Birinchidan
Seite,Sahifa
Leistung,Ishlash
alt,eski
Sei,Bo'l
halten,ushlab turing
Morgen,Ertalab
solch,shunday
Kind,bola
Punkt,Nuqta
kam,keldi
folgende,ergashish
Begnadigung,kechir
kommen,kel
vorne,oldida
in Richtung,tomon
Minuten,daqiqa
Anfrage,So'rov
Schlafzimmer,yotoqxona
setzen,o'rnatish
Schön,Yaxshi
Rechts,To'g'ri
möchte,istayman
Heute,Bugun
Ehemann,Er
Ursache,Sabab
Endlich,Nihoyat
Hoffnung,Umid
Wasser,Suv
Warten,Kutib turing
Party,partiya
neu,yangi
Arbeit,Ish
Stoppen,STOP
würde sagen,aytar edi
Erde,Yer
Konto,Hisob
gegeben,berilgan
weit,uzoq
ENDE,OXIRI
glauben,ishon
Liebling,Azizim
fett,semiz
stattdessen,o'rniga
wird haben,ega bo'ladi
Mädchen,Qiz
spielen,o'ynash
Schreibtisch,Stol
