German,Uzbek
Teil,Qism
Geschichte,Hikoya
nur,faqat
Polizei,politsiya
Gedanke,fikr
helfen,yordam
Geschlecht,Jins
Monat,Oy
Bruder,Birodar
Stadt,Shahar
sprechen,gapirish
sollen,kerak
Std.,soat
gehen,ket
Verabschiedung,asrab olish
Ort,Joylashuv
sprechen,gapirish
Verstanden,Tushundim
wusste,bilar edi
geben,berish
gegeben,berilgan
Ort,Joylashuv
Augen,Ko'zlar
Hören,Eshiting
finden,toping
verloren,yo'qolgan
Erste,Birinchidan
Seite,Sahifa
Sei,Bo'l
halten,ushlab turing
solch,shunday
kam,keldi
folgende,ergashish
Begnadigung,kechir
Anfrage,So'rov
setzen,o'rnatish
Rechts,To'g'ri
Heute,Bugun
Hoffnung,Umid
Warten,Kutib turing
neu,yangi
Arbeit,Ish
Stoppen,STOP
Erde,Yer
gegeben,berilgan
weit,uzoq
glauben,ishon
wird haben,ega bo'ladi
Mädchen,Qiz
